"","stake","date","name","buy","sell","total"
"1","2609陽明","110/08/17","兆豐-中壢",5227,708,4519
"2","2609陽明","110/08/17","康和",48,4865,-4817
"3","2609陽明","110/08/17","凱基-台北",5969,1780,4189
"4","2609陽明","110/08/17","永豐金-信義",84,2643,-2559
"5","2609陽明","110/08/17","兆豐-三民",2114,136,1978
"6","2609陽明","110/08/17","凱基-虎尾",487,2286,-1799
"7","2609陽明","110/08/17","兆豐-復興",3638,1682,1956
"8","2609陽明","110/08/17","港商野村",1127,2155,-1028
"9","2609陽明","110/08/17","台灣摩根士丹利",2505,858,1647
"10","2609陽明","110/08/17","兆豐-虎尾",1846,2756,-910
"11","2609陽明","110/08/17","日盛-板橋",1734,262,1472
"12","2609陽明","110/08/17","富邦-嘉義",7219,8100,-881
"13","2609陽明","110/08/17","美林",3468,2882,586
"14","2609陽明","110/08/17","元大-頭份",78,810,-732
"15","2609陽明","110/08/17","香港上海匯豐",593,100,493
"16","2609陽明","110/08/17","摩根大通",1422,2133,-711
"17","2609陽明","110/08/17","統一-土城",366,14,352
"18","2609陽明","110/08/17","元大-永春",281,971,-690
"19","2609陽明","110/08/17","統一-敦南",899,577,322
"20","2609陽明","110/08/17","宏遠證券",948,1614,-666
"21","2609陽明","110/08/17","富邦-桃園",413,123,290
"22","2609陽明","110/08/17","凱基-竹東",20,668,-648
"23","2609陽明","110/08/17","日盛-中壢",537,256,281
"24","2609陽明","110/08/17","元大證券",1377,2001,-624
"25","2609陽明","110/08/17","兆豐-板橋",545,318,227
"26","2609陽明","110/08/17","元富-新店",74,549,-475
"27","2609陽明","110/08/17","凱基-桃園",367,142,225
"28","2609陽明","110/08/17","華南永昌-楠梓",73,486,-413
"29","2609陽明","110/08/17","統一-城中",390,169,221
"30","2609陽明","110/08/17","臺銀",286,681,-395
"31","2636台驊投控","110/08/17","元富-文心",272,9,263
"32","2636台驊投控","110/08/17","凱基-彰化",0,689,-689
"33","2636台驊投控","110/08/17","日盛-大墩",185,19,166
"34","2636台驊投控","110/08/17","摩根大通",347,761,-414
"35","2636台驊投控","110/08/17","第一金-桃園",147,26,121
"36","2636台驊投控","110/08/17","富邦-花蓮",106,366,-260
"37","2636台驊投控","110/08/17","元富-大昌",84,15,69
"38","2636台驊投控","110/08/17","凱基-台北",395,566,-171
"39","2636台驊投控","110/08/17","新光",258,192,66
"40","2636台驊投控","110/08/17","大慶",15,175,-160
"41","2636台驊投控","110/08/17","統一-新台中",64,4,60
"42","2636台驊投控","110/08/17","統一",111,247,-136
"43","2636台驊投控","110/08/17","華南永昌-竹北",308,252,56
"44","2636台驊投控","110/08/17","富邦證券",0,134,-134
"45","2636台驊投控","110/08/17","日盛-木柵",60,8,52
"46","2636台驊投控","110/08/17","富邦-虎尾",294,414,-120
"47","2636台驊投控","110/08/17","國泰-敦南",335,283,52
"48","2636台驊投控","110/08/17","元大-士林",4,114,-110
"49","2636台驊投控","110/08/17","美商高盛",96,54,42
"50","2636台驊投控","110/08/17","美林",320,401,-81
"51","2636台驊投控","110/08/17","凱基-市政",60,22,38
"52","2636台驊投控","110/08/17","瑞士信貸",62,134,-72
"53","2636台驊投控","110/08/17","元大-龍潭",50,13,37
"54","2636台驊投控","110/08/17","兆豐-東門",70,140,-70
"55","2636台驊投控","110/08/17","國票-九鼎",50,16,34
"56","2636台驊投控","110/08/17","凱基-高美館",89,158,-69
"57","2636台驊投控","110/08/17","元大-東門",37,3,34
"58","2636台驊投控","110/08/17","日盛證券",103,170,-67
"59","2636台驊投控","110/08/17","富邦-三重",33,1,32
"60","2636台驊投控","110/08/17","宏遠-桃園",4,44,-40
"61","2867三商壽","110/08/17","摩根大通",670,119,551
"62","2867三商壽","110/08/17","玉山-左營",10,1173,-1163
"63","2867三商壽","110/08/17","元富-世貿",288,0,288
"64","2867三商壽","110/08/17","華南永昌",50,736,-686
"65","2867三商壽","110/08/17","日盛-中和",276,10,266
"66","2867三商壽","110/08/17","台灣摩根士丹利",37,195,-158
"67","2867三商壽","110/08/17","新光-台中",243,7,236
"68","2867三商壽","110/08/17","兆豐-北高雄",0,135,-135
"69","2867三商壽","110/08/17","台新-台中",198,1,197
"70","2867三商壽","110/08/17","宏遠證券",9,141,-132
"71","2867三商壽","110/08/17","華南永昌-長虹",136,0,136
"72","2867三商壽","110/08/17","永豐金-市政",0,115,-115
"73","2867三商壽","110/08/17","美林",137,2,135
"74","2867三商壽","110/08/17","兆豐-新竹",0,113,-113
"75","2867三商壽","110/08/17","元大-土城永寧",100,1,99
"76","2867三商壽","110/08/17","永豐金證券",0,82,-82
"77","2867三商壽","110/08/17","國泰-台中",99,2,97
"78","2867三商壽","110/08/17","元大-彰化民生",0,80,-80
"79","2867三商壽","110/08/17","元富-古亭",100,4,96
"80","2867三商壽","110/08/17","永豐金-中盛",4,77,-73
"81","2867三商壽","110/08/17","合庫-西台中",80,0,80
"82","2867三商壽","110/08/17","元富",0,70,-70
"83","2867三商壽","110/08/17","新加坡商瑞銀",83,4,79
"84","2867三商壽","110/08/17","宏遠-中和",10,57,-47
"85","2867三商壽","110/08/17","永豐金-埔里",64,5,59
"86","2867三商壽","110/08/17","富邦-嘉義",4,50,-46
"87","2867三商壽","110/08/17","元富-緯城",50,0,50
"88","2867三商壽","110/08/17","第一金-華江",0,30,-30
"89","2867三商壽","110/08/17","台新-建北",49,0,49
"90","2867三商壽","110/08/17","台新證券",2,32,-30
"91","5521工信","110/08/17","元大-沙鹿",60,0,60
"92","5521工信","110/08/17","摩根大通",75,227,-152
"93","5521工信","110/08/17","群益金鼎-萬華",46,0,46
"94","5521工信","110/08/17","凱基-台北",5,68,-63
"95","5521工信","110/08/17","台新證券",37,1,36
"96","5521工信","110/08/17","群益金鼎-敦南",0,60,-60
"97","5521工信","110/08/17","華南永昌-竹北",31,0,31
"98","5521工信","110/08/17","台灣摩根士丹利",5,64,-59
"99","5521工信","110/08/17","元大-北投",30,0,30
"100","5521工信","110/08/17","元富-古亭",0,40,-40
"101","5521工信","110/08/17","元富-屏東",24,0,24
"102","5521工信","110/08/17","台灣企銀-嘉義",0,35,-35
"103","5521工信","110/08/17","富邦-台北",23,0,23
"104","5521工信","110/08/17","美林",5,37,-32
"105","5521工信","110/08/17","元大-屏南",23,0,23
"106","5521工信","110/08/17","華南永昌",0,27,-27
"107","5521工信","110/08/17","國泰-敦南",40,18,22
"108","5521工信","110/08/17","華南永昌-潮州",0,25,-25
"109","5521工信","110/08/17","兆豐-中壢",20,0,20
"110","5521工信","110/08/17","台新-高雄",0,24,-24
"111","5521工信","110/08/17","新光-台南",20,0,20
"112","5521工信","110/08/17","大慶-楊梅",0,22,-22
"113","5521工信","110/08/17","臺銀-鳳山",19,0,19
"114","5521工信","110/08/17","凱基-桃園",0,20,-20
"115","5521工信","110/08/17","日進",18,0,18
"116","5521工信","110/08/17","元大-東蘆",0,20,-20
"117","5521工信","110/08/17","永豐金-鳳山",17,0,17
"118","5521工信","110/08/17","第一金-桃園",0,18,-18
"119","5521工信","110/08/17","玉山證券",14,0,14
"120","5521工信","110/08/17","新光-新竹",3,20,-17
"121","1471首利","110/08/17","摩根大通",110,14,96
