"","stake","date","name","buy","sell","total"
"1","2609陽明","110/08/16","康和",4181,128,4053
"2","2609陽明","110/08/16","凱基-台北",1053,19933,-18880
"3","2609陽明","110/08/16","宏遠證券",2579,659,1920
"4","2609陽明","110/08/16","群益金鼎-三重",162,5149,-4987
"5","2609陽明","110/08/16","華南永昌-竹北",2072,225,1847
"6","2609陽明","110/08/16","兆豐-南京",3041,5871,-2830
"7","2609陽明","110/08/16","凱基-虎尾",4140,2400,1740
"8","2609陽明","110/08/16","中國信託-松江",116,2823,-2707
"9","2609陽明","110/08/16","元大證券",8157,7010,1147
"10","2609陽明","110/08/16","兆豐-復興",107,2607,-2500
"11","2609陽明","110/08/16","摩根大通",5939,5074,865
"12","2609陽明","110/08/16","美林",2802,5073,-2271
"13","2609陽明","110/08/16","永豐金-信義",865,85,780
"14","2609陽明","110/08/16","兆豐-三民",182,2181,-1999
"15","2609陽明","110/08/16","元大-頭份",1005,248,757
"16","2609陽明","110/08/16","新加坡商瑞銀",561,2511,-1950
"17","2609陽明","110/08/16","港商野村",2920,2184,736
"18","2609陽明","110/08/16","凱基-城中",585,1560,-975
"19","2609陽明","110/08/16","元大-信義",944,209,735
"20","2609陽明","110/08/16","元大-竹科",394,1326,-932
"21","2609陽明","110/08/16","凱基-市政",14533,13859,674
"22","2609陽明","110/08/16","群益金鼎-大安",89,951,-862
"23","2609陽明","110/08/16","富邦-嘉義",7027,6481,546
"24","2609陽明","110/08/16","瑞士信貸",910,1607,-697
"25","2609陽明","110/08/16","新光-新竹",1792,1331,461
"26","2609陽明","110/08/16","兆豐-新竹",305,932,-627
"27","2609陽明","110/08/16","凱基-台南",808,378,430
"28","2609陽明","110/08/16","元大-永春",376,856,-480
"29","2609陽明","110/08/16","凱基-信義",434,31,403
"30","2609陽明","110/08/16","元富",483,956,-473
"31","2636台驊投控","110/08/16","凱基",893,138,755
"32","2636台驊投控","110/08/16","日盛-台中",36,221,-185
"33","2636台驊投控","110/08/16","瑞士信貸",524,17,507
"34","2636台驊投控","110/08/16","統一-新竹",4,188,-184
"35","2636台驊投控","110/08/16","台灣摩根士丹利",534,35,499
"36","2636台驊投控","110/08/16","國泰-敦南",291,403,-112
"37","2636台驊投控","110/08/16","富邦-花蓮",283,25,258
"38","2636台驊投控","110/08/16","新光",259,366,-107
"39","2636台驊投控","110/08/16","新光-新竹",349,144,205
"40","2636台驊投控","110/08/16","群益金鼎",89,185,-96
"41","2636台驊投控","110/08/16","國票-彰化",442,282,160
"42","2636台驊投控","110/08/16","新光-桃園",22,98,-76
