"","stake","date","name","buy","sell","total"
"1","2609陽明","110/08/13","凱基-台北",10192,4911,5281
"2","2609陽明","110/08/13","兆豐-中壢",995,9892,-8897
"3","2609陽明","110/08/13","群益金鼎-三重",3617,1227,2390
"4","2609陽明","110/08/13","中國信託-松江",208,4801,-4593
"5","2609陽明","110/08/13","兆豐-三民",2480,256,2224
"6","2609陽明","110/08/13","富邦證券",5398,9750,-4352
"7","2609陽明","110/08/13","新光",6408,4476,1932
"8","2609陽明","110/08/13","康和",1128,5161,-4033
"9","2609陽明","110/08/13","日盛-大墩",2359,460,1899
"10","2609陽明","110/08/13","台灣摩根士丹利",841,4432,-3591
"11","2609陽明","110/08/13","元大-敦南",1851,295,1556
"12","2609陽明","110/08/13","永豐金-信義",131,2886,-2755
"13","2609陽明","110/08/13","元大-竹科",1588,557,1031
"14","2609陽明","110/08/13","華南永昌-竹北",296,2990,-2694
"15","2609陽明","110/08/13","花旗環球",1019,12,1007
"16","2609陽明","110/08/13","群益金鼎-新莊",413,2647,-2234
"17","2609陽明","110/08/13","新加坡商瑞銀",2546,1548,998
"18","2609陽明","110/08/13","富邦-嘉義",16745,18175,-1430
"19","2609陽明","110/08/13","永豐金-古亭",1337,340,997
"20","2609陽明","110/08/13","兆豐-虎尾",6649,8052,-1403
"21","2609陽明","110/08/13","日盛證券",2105,1310,795
"22","2609陽明","110/08/13","群益金鼎-大安",2299,3556,-1257
"23","2609陽明","110/08/13","凱基-城中",2027,1318,709
"24","2609陽明","110/08/13","美林",4551,5778,-1227
"25","2609陽明","110/08/13","台新-台南",1272,589,683
"26","2609陽明","110/08/13","瑞士信貸",1104,2131,-1027
"27","2609陽明","110/08/13","元大-信義",1086,414,672
"28","2609陽明","110/08/13","日盛-板橋",462,1430,-968
"29","2609陽明","110/08/13","康和-台北",698,59,639
"30","2609陽明","110/08/13","統一-仁愛",3991,4945,-954
"31","2636台驊投控","110/08/13","統一-新台中",245,3,242
"32","2636台驊投控","110/08/13","新光-新竹",61,469,-408
"33","2636台驊投控","110/08/13","日盛-台中",304,123,181
"34","2636台驊投控","110/08/13","華南永昌-竹北",2,291,-289
"35","2636台驊投控","110/08/13","日盛-板橋",177,17,160
"36","2636台驊投控","110/08/13","瑞士信貸",85,306,-221
"37","2636台驊投控","110/08/13","宏遠證券",122,29,93
"38","2636台驊投控","110/08/13","美林",262,460,-198
"39","2636台驊投控","110/08/13","兆豐證券",105,17,88
"40","2636台驊投控","110/08/13","摩根大通",180,378,-198
"41","2636台驊投控","110/08/13","永豐金-市政",92,17,75
"42","2636台驊投控","110/08/13","富邦-虎尾",174,303,-129
"43","2636台驊投控","110/08/13","新光",365,304,61
"44","2636台驊投控","110/08/13","凱基-台北",411,534,-123
"45","2636台驊投控","110/08/13","日盛證券",80,22,58
"46","2636台驊投控","110/08/13","元大-虎尾",17,76,-59
"47","2636台驊投控","110/08/13","台灣摩根士丹利",157,99,58
"48","2636台驊投控","110/08/13","第一金-新竹",22,78,-56
"49","2636台驊投控","110/08/13","國泰-敦南",232,183,49
"50","2636台驊投控","110/08/13","統一-城中",1,55,-54
"51","2636台驊投控","110/08/13","元大-淡水",42,6,36
"52","2636台驊投控","110/08/13","石橋證券",4,52,-48
"53","2636台驊投控","110/08/13","新光-桃園",66,37,29
"54","2636台驊投控","110/08/13","凱基-內湖",52,91,-39
"55","2636台驊投控","110/08/13","國泰-台中",108,82,26
"56","2636台驊投控","110/08/13","台新-台中",45,82,-37
"57","2636台驊投控","110/08/13","豐農",27,2,25
"58","2636台驊投控","110/08/13","台新-新營",11,47,-36
"59","2636台驊投控","110/08/13","國票-彰化",421,397,24
"60","2636台驊投控","110/08/13","元富-中壢",4,37,-33
"61","2867三商壽","110/08/13","美商高盛",295,16,279
"62","2867三商壽","110/08/13","摩根大通",109,286,-177
"63","2867三商壽","110/08/13","大慶-中壢",183,1,182
"64","2867三商壽","110/08/13","元大-佳里",0,113,-113
"65","2867三商壽","110/08/13","新加坡商瑞銀",121,0,121
"66","2867三商壽","110/08/13","元大-崇德",0,103,-103
"67","2867三商壽","110/08/13","凱基-五股",100,0,100
"68","2867三商壽","110/08/13","台灣摩根士丹利",9,83,-74
"69","2867三商壽","110/08/13","元大-桃園",100,1,99
"70","2867三商壽","110/08/13","國泰-台南",1,73,-72
"71","2867三商壽","110/08/13","凱基-虎尾",90,0,90
"72","2867三商壽","110/08/13","元大證券",1,62,-61
"73","2867三商壽","110/08/13","華南永昌-高雄",100,10,90
"74","2867三商壽","110/08/13","元大-台中",0,60,-60
"75","2867三商壽","110/08/13","兆豐-北高雄",81,2,79
"76","2867三商壽","110/08/13","元大-大同",0,53,-53
"77","2867三商壽","110/08/13","新光",105,39,66
"78","2867三商壽","110/08/13","兆豐-鹿港",0,50,-50
"79","2867三商壽","110/08/13","富邦-彰化",60,0,60
"80","2867三商壽","110/08/13","合庫-西台中",2,50,-48
"81","2867三商壽","110/08/13","富邦-台南",60,0,60
"82","2867三商壽","110/08/13","新光-台中",7,53,-46
"83","2867三商壽","110/08/13","玉山-板橋",60,1,59
"84","2867三商壽","110/08/13","元大-大益",0,44,-44
"85","2867三商壽","110/08/13","群益金鼎-新竹",56,0,56
"86","2867三商壽","110/08/13","亞東-板橋",0,36,-36
"87","2867三商壽","110/08/13","元大-大統",53,0,53
"88","2867三商壽","110/08/13","福邦證券",0,34,-34
"89","2867三商壽","110/08/13","瑞士信貸",55,3,52
"90","2867三商壽","110/08/13","元大-博愛",16,50,-34
"91","5521工信","110/08/13","日進",100,0,100
"92","5521工信","110/08/13","美林",1,87,-86
"93","5521工信","110/08/13","摩根大通",180,102,78
"94","5521工信","110/08/13","日盛-復興",1,70,-69
"95","5521工信","110/08/13","元大-鳳山",30,0,30
"96","5521工信","110/08/13","永豐金-鳳山",1,60,-59
"97","5521工信","110/08/13","(牛牛牛)亞-鑫豐",28,2,26
"98","5521工信","110/08/13","中國信託-三重",0,52,-52
"99","5521工信","110/08/13","新光",24,0,24
"100","5521工信","110/08/13","華南永昌-民權",0,50,-50
"101","5521工信","110/08/13","華南永昌-彰化",21,0,21
"102","5521工信","110/08/13","第一金-新竹",0,34,-34
"103","5521工信","110/08/13","台灣企銀-建成",20,0,20
"104","5521工信","110/08/13","凱基-台北",18,49,-31
"105","5521工信","110/08/13","大昌",20,0,20
"106","5521工信","110/08/13","元大-新莊",10,38,-28
