"","stake","date","name","buy","sell","total"
"1","1471首利","110/08/04","玉山-桃園",51,0,51
"2","1471首利","110/08/04","國票-九鼎",0,60,-60
"3","1471首利","110/08/04","華南永昌-潮州",50,1,49
"4","1471首利","110/08/04","日盛-士林",0,20,-20
"5","1471首利","110/08/04","瑞士信貸",33,3,30
"6","1471首利","110/08/04","元大-博愛",4,24,-20
"7","1471首利","110/08/04","兆豐-板橋",20,0,20
"8","1471首利","110/08/04","群益金鼎-台中",1,20,-19
"9","1471首利","110/08/04","兆豐-台中港",30,13,17
"10","1471首利","110/08/04","國泰-高雄",0,16,-16
"11","1471首利","110/08/04","富邦-基隆",16,0,16
"12","1471首利","110/08/04","元大-台南",1,17,-16
"13","1471首利","110/08/04","美林",15,0,15
"14","1471首利","110/08/04","國泰-敦南",18,32,-14
"15","1471首利","110/08/04","永豐金-員林",12,0,12
"16","1471首利","110/08/04","新光",21,33,-12
"17","1471首利","110/08/04","第一金-台南",11,0,11
"18","1471首利","110/08/04","凱基-土城",0,12,-12
"19","1471首利","110/08/04","德信-中正",12,1,11
"20","1471首利","110/08/04","合庫-高雄",0,10,-10
"21","1471首利","110/08/04","合庫-台中",10,0,10
"22","1471首利","110/08/04","元富-宜蘭",0,10,-10
"23","1471首利","110/08/04","國泰-新莊",10,0,10
"24","1471首利","110/08/04","國泰-板橋",0,10,-10
"25","1471首利","110/08/04","富邦-桃園",10,0,10
"26","1471首利","110/08/04","群益金鼎-鳳山",0,10,-10
"27","1471首利","110/08/04","元大-苗栗",10,0,10
"28","1471首利","110/08/04","元大-東泰",0,10,-10
"29","1471首利","110/08/04","玉山-左營",10,1,9
"30","1471首利","110/08/04","元大-林園",0,10,-10
"31","2883開發金","110/08/04","國泰證券",3650,0,3650
"32","2883開發金","110/08/04","康和-仁愛",3,1737,-1734
"33","2883開發金","110/08/04","統一",2763,29,2734
"34","2883開發金","110/08/04","新加坡商瑞銀",356,1472,-1116
"35","2883開發金","110/08/04","凱基-台北",2041,429,1612
"36","2883開發金","110/08/04","豐農",5,1025,-1020
"37","2883開發金","110/08/04","元富-城東",1602,26,1576
"38","2883開發金","110/08/04","富邦-建國",271,1004,-733
"39","2883開發金","110/08/04","元富",1190,0,1190
"40","2883開發金","110/08/04","元大-北成功",6,608,-602
"41","2883開發金","110/08/04","美商高盛",1033,355,678
"42","2883開發金","110/08/04","台灣摩根士丹利",573,1019,-446
"43","2883開發金","110/08/04","康和",661,6,655
"44","2883開發金","110/08/04","台新-中壢",2,431,-429
"45","2883開發金","110/08/04","國票-長城",504,8,496
"46","2883開發金","110/08/04","凱基-和平",1,400,-399
"47","2883開發金","110/08/04","元大-大灣",734,304,430
"48","2883開發金","110/08/04","元大-蘆洲",7,370,-363
"49","2883開發金","110/08/04","永豐金-板橋",500,100,400
"50","2883開發金","110/08/04","元大-民生",10,370,-360
"51","2883開發金","110/08/04","永豐金-台南",389,11,378
"52","2883開發金","110/08/04","中國信託-中壢",1,321,-320
"53","2883開發金","110/08/04","日盛證券",608,255,353
"54","2883開發金","110/08/04","港商法國興業",0,291,-291
"55","2883開發金","110/08/04","花旗環球",343,0,343
"56","2883開發金","110/08/04","日盛-北高雄",20,309,-289
"57","2883開發金","110/08/04","瑞士信貸",462,121,341
"58","2883開發金","110/08/04","日盛-花蓮",11,250,-239
"59","2883開發金","110/08/04","凱基",320,0,320
"60","2883開發金","110/08/04","群益金鼎-東湖",10,243,-233
"61","6205詮欣","110/08/04","摩根大通",18,0,18
"62","6205詮欣","110/08/04","永豐金-敦南",16,36,-20
"63","6205詮欣","110/08/04","臺銀-民權",5,0,5
"64","6205詮欣","110/08/04","瑞士信貸",6,10,-4
"65","6205詮欣","110/08/04","凱基-台北",4,0,4
"66","6205詮欣","110/08/04","致和-高雄",0,4,-4
"67","6205詮欣","110/08/04","元富-潮州",3,0,3
"68","6205詮欣","110/08/04","群益金鼎-台南",0,3,-3
"69","6205詮欣","110/08/04","台中銀",3,0,3
"70","6205詮欣","110/08/04","元大-路竹",0,3,-3
"71","6205詮欣","110/08/04","華南永昌",3,0,3
"72","6205詮欣","110/08/04","元大-北成功",0,3,-3
"73","6205詮欣","110/08/04","美林",2,0,2
"74","6205詮欣","110/08/04","凱基-東門",0,2,-2
"75","6205詮欣","110/08/04","元富-新店",2,0,2
"76","6205詮欣","110/08/04","凱基-基隆",0,2,-2
"77","6205詮欣","110/08/04","元大-羅東",2,0,2
"78","6205詮欣","110/08/04","凱基-大安",0,2,-2
"79","6205詮欣","110/08/04","元大-館前",2,0,2
"80","6205詮欣","110/08/04","元大-土城學府",0,2,-2
"81","6205詮欣","110/08/04","元大-楊梅",2,0,2
"82","6205詮欣","110/08/04","元大-民生",0,2,-2
"83","6205詮欣","110/08/04","元大-信義",2,0,2
"84","6205詮欣","110/08/04","日盛-八德",0,1,-1
"85","6205詮欣","110/08/04","永豐金-埔里",2,0,2
"86","6205詮欣","110/08/04","宏遠-高雄",0,1,-1
"87","6205詮欣","110/08/04","日盛-板橋",1,0,1
"88","6205詮欣","110/08/04","新加坡商瑞銀",0,1,-1
"89","6205詮欣","110/08/04","日盛-木柵",1,0,1
"90","6205詮欣","110/08/04","第一金-華江",0,1,-1
"91","1540喬福","110/08/04","元富-中原",58,0,58
"92","1540喬福","110/08/04","元大-大天母",0,60,-60
"93","1540喬福","110/08/04","(牛牛牛)亞-鑫豐",26,0,26
"94","1540喬福","110/08/04","統一-新台中",0,18,-18
"95","1540喬福","110/08/04","國泰-敦南",10,0,10
"96","1540喬福","110/08/04","群益金鼎-士林",0,7,-7
"97","1540喬福","110/08/04","富邦-南屯",10,0,10
