"","stake","date","name","buy","sell","total"
"1","2834臺企銀","110/09/08","凱基-台北",32669,19953,12716
"2","2834臺企銀","110/09/08","國票-敦北法人",2,10010,-10008
"3","2834臺企銀","110/09/08","國票-長城",3050,50,3000
"4","2834臺企銀","110/09/08","美林",1498,4535,-3037
"5","2834臺企銀","110/09/08","凱基-松山",1133,66,1067
"6","2834臺企銀","110/09/08","港商麥格理",0,3008,-3008
"7","2834臺企銀","110/09/08","聯邦-富強",901,0,901
"8","2834臺企銀","110/09/08","瑞士信貸",869,3189,-2320
"9","2834臺企銀","110/09/08","元大-蘆洲",836,5,831
"10","2834臺企銀","110/09/08","國票-南港",13,1013,-1000
"11","2834臺企銀","110/09/08","元大-民雄",624,12,612
"12","2834臺企銀","110/09/08","台灣企銀-竹北",6,1000,-994
"13","2834臺企銀","110/09/08","永豐金-台南",630,86,544
"14","2834臺企銀","110/09/08","新光",437,1428,-991
"15","2834臺企銀","110/09/08","(牛牛牛)亞-鑫豐",683,158,525
"16","2834臺企銀","110/09/08","元大證券",14,843,-829
"17","2834臺企銀","110/09/08","國泰-敦南",623,136,487
"18","2834臺企銀","110/09/08","凱基-桃園",70,781,-711
"19","2834臺企銀","110/09/08","台新證券",584,124,460
"20","2834臺企銀","110/09/08","元大-竹南",34,658,-624
"21","2834臺企銀","110/09/08","玉山-新莊",560,111,449
"22","2834臺企銀","110/09/08","花旗環球",0,550,-550
"23","2834臺企銀","110/09/08","華南永昌-嘉義",424,2,422
"24","2834臺企銀","110/09/08","永豐金-埔里",51,568,-517
"25","2834臺企銀","110/09/08","兆豐-忠孝",418,5,413
"26","2834臺企銀","110/09/08","凱基-林口",213,651,-438
"27","2834臺企銀","110/09/08","國泰-板橋",898,506,392
"28","2834臺企銀","110/09/08","美商高盛",525,930,-405
"29","2834臺企銀","110/09/08","元富-嘉義",354,2,352
"30","2834臺企銀","110/09/08","群益金鼎-板橋",7,405,-398
"31","5511德昌","110/09/08","玉山-台大",5,0,5
"32","5511德昌","110/09/08","日盛-新竹",0,9,-9
"33","5511德昌","110/09/08","第一金-台中",3,0,3
"34","5511德昌","110/09/08","台中銀-豐原",0,4,-4
"35","5511德昌","110/09/08","美商高盛",2,0,2
"36","5511德昌","110/09/08","國泰-台中",0,4,-4
"37","5511德昌","110/09/08","新光-高雄",2,0,2
"38","5511德昌","110/09/08","華南永昌-內壢",0,2,-2
"39","5511德昌","110/09/08","富邦-岡山",2,0,2
"40","5511德昌","110/09/08","第一金-中山",0,1,-1
"41","5511德昌","110/09/08","瑞士信貸",1,0,1
"42","5511德昌","110/09/08","國票-九鼎",0,1,-1
"43","5511德昌","110/09/08","元大-東蘆",1,0,1
"44","5511德昌","110/09/08","台新-屏東",0,1,-1
"45","5511德昌","110/09/08","元大-清水",1,0,1
"46","5511德昌","110/09/08","元大-土城永寧",0,1,-1
"47","5511德昌","110/09/08","富邦-台北",1,0,1
"48","5511德昌","110/09/08","台新-台中",0,0,0
"49","5511德昌","110/09/08","華南永昌-台中",1,0,1
"50","5511德昌","110/09/08","玉山-數位",0,0,0
"51","5511德昌","110/09/08","凱基-幸福",1,0,1
"52","5511德昌","110/09/08","國泰-敦南",0,0,0
"53","5511德昌","110/09/08","凱基-高雄",1,0,1
"54","5511德昌","110/09/08","群益金鼎-崇德",0,0,0
"55","5511德昌","110/09/08","玉山證券",1,0,1
"56","5511德昌","110/09/08","凱基-台北",2,2,0
"57","5511德昌","110/09/08","台新證券",1,0,1
"58","5511德昌","110/09/08","元大-大益",0,0,0
"59","5511德昌","110/09/08","群益金鼎-崇德",0,0,0
"60","5511德昌","110/09/08","元大-忠孝",0,0,0
"61","2489瑞軒","110/09/08","元大-斗六",245,5,240
"62","2489瑞軒","110/09/08","凱基-台北",76,557,-481
"63","2489瑞軒","110/09/08","凱基-桃園",91,0,91
"64","2489瑞軒","110/09/08","瑞士信貸",8,300,-292
"65","2489瑞軒","110/09/08","元大-內湖",72,0,72
"66","2489瑞軒","110/09/08","元大-豐原",0,200,-200
"67","2489瑞軒","110/09/08","華南永昌-高雄",60,0,60
"68","2489瑞軒","110/09/08","港商野村",38,179,-141
"69","2489瑞軒","110/09/08","華南永昌",59,0,59
"70","2489瑞軒","110/09/08","台灣摩根士丹利",10,145,-135
"71","2489瑞軒","110/09/08","合庫-台南",58,0,58
"72","2489瑞軒","110/09/08","美商高盛",3,138,-135
"73","2489瑞軒","110/09/08","合庫-台中",55,0,55
"74","2489瑞軒","110/09/08","香港上海匯豐",0,100,-100
"75","2489瑞軒","110/09/08","凱基-文心",50,8,42
"76","2489瑞軒","110/09/08","永豐金-板盛",0,100,-100
"77","2489瑞軒","110/09/08","群益金鼎-南京",37,0,37
"78","2489瑞軒","110/09/08","摩根大通",151,246,-95
"79","2489瑞軒","110/09/08","統一-桃園",35,0,35
"80","2489瑞軒","110/09/08","元大證券",10,83,-73
"81","2489瑞軒","110/09/08","華南永昌-虎尾",36,1,35
"82","2489瑞軒","110/09/08","美林",109,173,-64
"83","2489瑞軒","110/09/08","富邦-仁愛",35,0,35
"84","2489瑞軒","110/09/08","元大-大同",11,75,-64
"85","2489瑞軒","110/09/08","元大-台南",34,0,34
"86","2489瑞軒","110/09/08","國票",7,69,-62
"87","2489瑞軒","110/09/08","群益金鼎-崇德",33,0,33
"88","2489瑞軒","110/09/08","中國信託-嘉義",0,60,-60
"89","2489瑞軒","110/09/08","元大-清水",33,0,33
"90","2489瑞軒","110/09/08","元大-民雄",0,50,-50
"91","2428興勤","110/09/08","摩根大通",43,24,19
"92","2428興勤","110/09/08","國票-安和",1,55,-54
"93","2428興勤","110/09/08","凱基-台北",34,15,19
"94","2428興勤","110/09/08","永豐金-信義",1,33,-32
"95","2428興勤","110/09/08","新加坡商瑞銀",21,6,15
"96","2428興勤","110/09/08","香港上海匯豐",0,28,-28
"97","2428興勤","110/09/08","台灣摩根士丹利",19,6,13
"98","2428興勤","110/09/08","中國信託",0,23,-23
"99","2428興勤","110/09/08","元富-城東",13,0,13
"100","2428興勤","110/09/08","凱基-市府",0,19,-19
"101","2428興勤","110/09/08","凱基-鳳山",10,1,9
"102","2428興勤","110/09/08","元大證券",2,14,-12
"103","2428興勤","110/09/08","美商高盛",20,12,8
"104","2428興勤","110/09/08","國票-博愛",0,11,-11
"105","2428興勤","110/09/08","元富-緯城",9,1,8
"106","2428興勤","110/09/08","新光-台南",1,12,-11
"107","2428興勤","110/09/08","康和-內湖",8,0,8
"108","2428興勤","110/09/08","合庫-自強",0,10,-10
"109","2428興勤","110/09/08","臺銀-民權",7,0,7
"110","2428興勤","110/09/08","富邦-敦南",0,7,-7
"111","2428興勤","110/09/08","群益金鼎-屏東",10,3,7
"112","2428興勤","110/09/08","元大-大雅",0,6,-6
"113","2428興勤","110/09/08","富邦-高雄",7,0,7
"114","2428興勤","110/09/08","凱基-中港",1,6,-5
