"mydate","v1","v2","v3","v4","v5","v6","mys"
2021-05-24,"05","11","14","19","33","38","02"
2021-05-24,"05","11","14","19","33","38","02"
2021-05-24,"05","11","14","19","33","38","02"
2021-05-24,"05","11","14","19","33","38","02"
2021-05-24,"05","11","14","19","33","38","02"
2021-05-24,"05","11","14","19","33","38","02"
2021-05-24,"05","11","14","19","33","38","02"
2021-05-24,"05","11","14","19","33","38","02"
2021-05-24,"05","11","14","19","33","38","02"
2021-05-24,"05","11","14","19","33","38","02"
2021-05-24,"05","11","14","19","33","38","02"
2021-05-24,"05","11","14","19","33","38","02"
2021-05-24,"05","11","14","19","33","38","02"
2021-05-24,"05","11","14","19","33","38","02"
2021-05-24,"05","11","14","19","33","38","02"
2021-05-24,"05","11","14","19","33","38","02"
2021-05-24,"05","11","14","19","33","38","02"
2021-05-24,"05","11","14","19","33","38","02"
2021-05-24,"05","11","14","19","33","38","02"
2021-05-24,"05","11","14","19","33","38","02"
2021-05-24,"05","11","14","19","33","38","02"
2021-05-24,"05","11","14","19","33","38","02"
2021-05-24,"05","11","14","19","33","38","02"
2021-05-24,"05","11","14","19","33","38","02"
2021-05-24,"05","11","14","19","33","38","02"
2021-05-24,"05","11","14","19","33","38","02"
2021-05-24,"05","11","14","19","33","38","02"
2021-05-24,"05","11","14","19","33","38","02"
2021-05-24,"05","11","14","19","33","38","02"
2021-05-24,"05","11","14","19","33","38","02"
2021-05-24,"05","11","14","19","33","38","02"
2021-05-24,"05","11","14","19","33","38","02"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
2021-05-27,"04","07","11","23","24","34","06"
