"","stake","date","name","buy","sell","total"
"1","2883開發金","110/07/26","元大-斗信",1975,9,1966
"2","2883開發金","110/07/26","摩根大通",421,8968,-8547
"3","2883開發金","110/07/26","兆豐-北高雄",1511,11,1500
"4","2883開發金","110/07/26","凱基-台北",1167,5306,-4139
"5","2883開發金","110/07/26","凱基-台東",1041,24,1017
"6","2883開發金","110/07/26","美林",0,3992,-3992
"7","2883開發金","110/07/26","亞東-新竹",1203,200,1003
"8","2883開發金","110/07/26","新加坡商瑞銀",517,4045,-3528
"9","2883開發金","110/07/26","國泰-台中",1034,302,732
"10","2883開發金","110/07/26","兆豐-竹北",3,1614,-1611
"11","2883開發金","110/07/26","玉山-新竹",812,109,703
"12","2883開發金","110/07/26","國票-安和",151,1432,-1281
"13","2883開發金","110/07/26","國泰-敦南",1116,435,681
"14","2883開發金","110/07/26","永豐金-板橋",67,1011,-944
"15","2883開發金","110/07/26","元富",705,50,655
"16","2883開發金","110/07/26","群益金鼎-南京",1,923,-922
"17","2883開發金","110/07/26","元大-屏南",520,5,515
"18","2883開發金","110/07/26","美商高盛",16,723,-707
"19","2883開發金","110/07/26","元大-新盛",527,19,508
"20","2883開發金","110/07/26","大慶-富順",41,706,-665
"21","2883開發金","110/07/26","臺銀-金山",505,11,494
"22","2883開發金","110/07/26","港商野村",1039,1670,-631
"23","2883開發金","110/07/26","兆豐-景美",655,198,457
"24","2883開發金","110/07/26","群益金鼎-中港",2,599,-597
"25","2883開發金","110/07/26","國泰-板橋",889,436,453
"26","2883開發金","110/07/26","德信-中正",10,511,-501
"27","2883開發金","110/07/26","日盛-雙和",465,25,440
"28","2883開發金","110/07/26","元大-小港",31,530,-499
"29","2883開發金","110/07/26","元大-北成功",457,45,412
"30","2883開發金","110/07/26","元大-民生",31,515,-484
"31","6205詮欣","110/07/26","摩根大通",39,3,36
"32","6205詮欣","110/07/26","日盛-三重",0,73,-73
"33","6205詮欣","110/07/26","瑞士信貸",23,2,21
"34","6205詮欣","110/07/26","臺銀-民權",0,34,-34
