"","stake","date","name","buy","sell","total"
"1","1471首利","110/08/02","日盛-和美",31,0,31
"2","1471首利","110/08/02","日盛-八德",0,63,-63
"3","1471首利","110/08/02","宏遠-光隆",30,0,30
"4","1471首利","110/08/02","凱基-幸福",0,49,-49
"5","1471首利","110/08/02","元富-花蓮",25,0,25
"6","1471首利","110/08/02","富邦-台北",0,30,-30
"7","1471首利","110/08/02","凱基-台北",25,0,25
"8","1471首利","110/08/02","元大-東蘆",0,30,-30
"9","1471首利","110/08/02","日盛-木柵",20,0,20
"10","1471首利","110/08/02","合庫-桃園",0,20,-20
"11","1471首利","110/08/02","凱基-高美館",20,0,20
"12","1471首利","110/08/02","康和-澎湖",0,15,-15
"13","1471首利","110/08/02","新光-台中",24,5,19
"14","1471首利","110/08/02","元大-斗信",0,15,-15
"15","1471首利","110/08/02","富邦-羅東",15,0,15
"16","1471首利","110/08/02","元富-民權",0,12,-12
"17","1471首利","110/08/02","兆豐-鹿港",14,0,14
"18","1471首利","110/08/02","玉山-新莊",0,12,-12
"19","1471首利","110/08/02","美林",16,4,12
"20","1471首利","110/08/02","宏遠-桃園",0,10,-10
"21","1471首利","110/08/02","統一-桃園",12,0,12
"22","1471首利","110/08/02","瑞士信貸",0,10,-10
"23","1471首利","110/08/02","合庫-高雄",10,0,10
"24","1471首利","110/08/02","大慶-苗栗",0,10,-10
"25","1471首利","110/08/02","日盛-士林",10,0,10
"26","1471首利","110/08/02","統一-新營",0,10,-10
"27","1471首利","110/08/02","港商法國興業",10,0,10
"28","1471首利","110/08/02","群益金鼎-三重",0,10,-10
"29","1471首利","110/08/02","第一金-台南",10,0,10
"30","1471首利","110/08/02","元大-基隆",0,10,-10
"31","2883開發金","110/08/02","統一",3076,29,3047
"32","2883開發金","110/08/02","中農",2,3126,-3124
"33","2883開發金","110/08/02","凱基-台北",2789,192,2597
"34","2883開發金","110/08/02","群益金鼎",11,2008,-1997
"35","2883開發金","110/08/02","元富-城東",2139,5,2134
"36","2883開發金","110/08/02","摩根大通",2081,3944,-1863
"37","2883開發金","110/08/02","瑞士信貸",2184,316,1868
"38","2883開發金","110/08/02","港商野村",949,2553,-1604
"39","2883開發金","110/08/02","美林",1160,271,889
"40","2883開發金","110/08/02","台灣匯立證券",198,1533,-1335
"41","2883開發金","110/08/02","港商麥格理",855,0,855
"42","2883開發金","110/08/02","中國信託",69,1041,-972
"43","2883開發金","110/08/02","元大-金華",533,33,500
"44","2883開發金","110/08/02","兆豐證券",1,863,-862
"45","2883開發金","110/08/02","新加坡商瑞銀",1089,624,465
"46","2883開發金","110/08/02","美商高盛",6,644,-638
"47","2883開發金","110/08/02","法銀巴黎",441,0,441
"48","2883開發金","110/08/02","華南永昌-中正",4,632,-628
"49","2883開發金","110/08/02","富邦-嘉義",425,24,401
"50","2883開發金","110/08/02","第一金-安和",156,757,-601
"51","2883開發金","110/08/02","元富-烏日",367,3,364
