"","stake","date","name","buy","sell","total"
"1","2834臺企銀","110/08/30","凱基-台北",5495,473,5022
"2","2834臺企銀","110/08/30","新加坡商瑞銀",2178,10258,-8080
"3","2834臺企銀","110/08/30","台灣摩根士丹利",4649,0,4649
"4","2834臺企銀","110/08/30","美商高盛",1692,8522,-6830
"5","2834臺企銀","110/08/30","美林",4408,656,3752
"6","2834臺企銀","110/08/30","花旗環球",821,3248,-2427
"7","2834臺企銀","110/08/30","瑞士信貸",5025,2357,2668
"8","2834臺企銀","110/08/30","(牛牛牛)亞-鑫豐",66,1298,-1232
"9","2834臺企銀","110/08/30","元富-虎尾",1361,1,1360
"10","2834臺企銀","110/08/30","元富-城中",100,1008,-908
"11","2834臺企銀","110/08/30","元大-草屯",681,126,555
"12","2834臺企銀","110/08/30","台新-台中",50,668,-618
"13","2834臺企銀","110/08/30","群益金鼎-彰化",527,0,527
"14","2834臺企銀","110/08/30","第一金-嘉義",1,590,-589
"15","2834臺企銀","110/08/30","華南永昌-東昇",500,5,495
"16","2834臺企銀","110/08/30","中國信託-忠孝",6,550,-544
"17","2834臺企銀","110/08/30","日盛-竹北",450,0,450
"18","2834臺企銀","110/08/30","華南永昌-朴子",59,600,-541
"19","2834臺企銀","110/08/30","華南永昌-虎尾",447,2,445
"20","2834臺企銀","110/08/30","統一-板橋",154,644,-490
"21","2834臺企銀","110/08/30","富邦-虎尾",409,5,404
"22","2834臺企銀","110/08/30","台新-中壢",10,454,-444
"23","2834臺企銀","110/08/30","元富-嘉義",410,7,403
"24","2834臺企銀","110/08/30","永豐金證券",14,447,-433
"25","2834臺企銀","110/08/30","富邦-板橋",427,31,396
"26","2834臺企銀","110/08/30","元大-大里",14,445,-431
"27","2834臺企銀","110/08/30","法銀巴黎",434,51,383
"28","2834臺企銀","110/08/30","永豐金-萬盛",22,449,-427
"29","2834臺企銀","110/08/30","元大-南海",345,11,334
"30","2834臺企銀","110/08/30","元大-北投",12,435,-423
"31","5511德昌","110/08/30","永豐金-市政",94,0,94
"32","5511德昌","110/08/30","兆豐-台中港",0,50,-50
"33","5511德昌","110/08/30","華南永昌-忠孝",14,0,14
"34","5511德昌","110/08/30","致和-崇德",0,10,-10
"35","5511德昌","110/08/30","元大-北屯",8,0,8
"36","5511德昌","110/08/30","凱基-新豐",0,8,-8
"37","5511德昌","110/08/30","永豐金-敦北",8,0,8
"38","5511德昌","110/08/30","大昌-桃園",0,7,-7
"39","5511德昌","110/08/30","第一金-台中",4,0,4
"40","5511德昌","110/08/30","元大-大雅",0,7,-7
"41","5511德昌","110/08/30","元大-斗信",3,0,3
"42","5511德昌","110/08/30","富邦-虎尾",0,6,-6
"43","5511德昌","110/08/30","凱基-台北",3,1,2
"44","5511德昌","110/08/30","兆豐-北高雄",0,5,-5
"45","5511德昌","110/08/30","富邦-台北",1,0,1
"46","5511德昌","110/08/30","元大-鹿港",0,5,-5
"47","5511德昌","110/08/30","康和-板橋",0,0,0
"48","5511德昌","110/08/30","華南永昌-世貿",0,5,-5
"49","5511德昌","110/08/30","康和-南崁",0,0,0
"50","5511德昌","110/08/30","兆豐-大安",0,4,-4
"51","5511德昌","110/08/30","新光-台南",0,0,0
"52","5511德昌","110/08/30","兆豐-來福",0,3,-3
"53","5511德昌","110/08/30","群益金鼎-鳳山",0,0,0
"54","5511德昌","110/08/30","國泰-敦南",0,3,-3
"55","5511德昌","110/08/30","華南永昌-公誠",0,0,0
"56","5511德昌","110/08/30","玉山-雙和",0,2,-2
"57","5511德昌","110/08/30","",NA,NA,NA
