"","stake","date","name","buy","sell","total"
"1","1471首利","110/09/10","元大-敦化",100,0,100
"2","1471首利","110/09/10","光和-溪湖",0,60,-60
"3","1471首利","110/09/10","元富-民權",37,0,37
"4","1471首利","110/09/10","永豐金-古亭",0,51,-51
"5","1471首利","110/09/10","華南永昌-中正",35,0,35
"6","1471首利","110/09/10","第一金-華江",1,26,-25
"7","1471首利","110/09/10","摩根大通",49,15,34
"8","1471首利","110/09/10","元大-南屯",0,19,-19
"9","1471首利","110/09/10","元大-龍潭",30,0,30
"10","1471首利","110/09/10","元大-福營",0,15,-15
"11","1471首利","110/09/10","統一-高雄",20,0,20
"12","1471首利","110/09/10","富邦-基隆",7,20,-13
"13","1471首利","110/09/10","群益金鼎-台南",20,0,20
"14","1471首利","110/09/10","日盛-士林",0,12,-12
"15","1471首利","110/09/10","凱基-台南",20,0,20
"16","1471首利","110/09/10","大昌-樹林",0,11,-11
"17","1471首利","110/09/10","致和-府前",16,0,16
"18","1471首利","110/09/10","華南永昌-虎尾",0,11,-11
"19","1471首利","110/09/10","台灣企銀-九如",15,0,15
"20","1471首利","110/09/10","臺灣企銀-桃園",0,10,-10
"21","1471首利","110/09/10","華南永昌-台中",12,0,12
"22","1471首利","110/09/10","元富-林園",0,10,-10
"23","1471首利","110/09/10","永豐金-羅東",12,0,12
"24","1471首利","110/09/10","玉山-左營",0,10,-10
"25","1471首利","110/09/10","合庫-嘉義",10,0,10
"26","1471首利","110/09/10","群益金鼎-丹鳳",0,10,-10
"27","1471首利","110/09/10","國泰-敦南",13,3,10
"28","1471首利","110/09/10","凱基-新莊",0,10,-10
"29","1471首利","110/09/10","元大-土城",10,0,10
"30","1471首利","110/09/10","富邦-花蓮",0,10,-10
"31","2883開發金","110/09/10","瑞士信貸",1950,126,1824
"32","2883開發金","110/09/10","富邦-內湖",0,1716,-1716
"33","2883開發金","110/09/10","國票-北高雄",1603,2,1601
"34","2883開發金","110/09/10","元富",2,1007,-1005
"35","2883開發金","110/09/10","凱基-台北",1675,225,1450
"36","2883開發金","110/09/10","永豐金-板橋",0,1000,-1000
"37","2883開發金","110/09/10","台灣摩根士丹利",841,248,593
"38","2883開發金","110/09/10","摩根大通",977,1911,-934
"39","2883開發金","110/09/10","新光-台中",501,55,446
"40","2883開發金","110/09/10","群益金鼎-西松",0,810,-810
"41","2883開發金","110/09/10","新加坡商瑞銀",404,0,404
"42","2883開發金","110/09/10","兆豐-北高雄",26,495,-469
"43","2883開發金","110/09/10","日盛-中和",360,1,359
"44","2883開發金","110/09/10","元大-豐原站前",0,430,-430
