"","stake","date","name","buy","sell","total"
"1","1471首利","110/07/28","美林",138,26,112
"2","1471首利","110/07/28","玉山-台大",0,234,-234
"3","1471首利","110/07/28","摩根大通",164,80,84
"4","1471首利","110/07/28","國票-九鼎",0,149,-149
"5","1471首利","110/07/28","(牛牛牛)亞-鑫豐",65,0,65
"6","1471首利","110/07/28","台中銀",0,69,-69
"7","1471首利","110/07/28","大昌-新店",44,0,44
"8","1471首利","110/07/28","元大-博愛",0,32,-32
"9","1471首利","110/07/28","玉山-桃園",69,30,39
"10","1471首利","110/07/28","凱基-竹北",0,30,-30
"11","1471首利","110/07/28","兆豐-鹿港",28,0,28
"12","1471首利","110/07/28","富邦-苗栗",0,30,-30
"13","1471首利","110/07/28","聯邦-高雄",21,0,21
"14","1471首利","110/07/28","港商法國興業",0,22,-22
"15","1471首利","110/07/28","永豐金-中正",21,0,21
"16","1471首利","110/07/28","國票-安和",0,20,-20
"17","1471首利","110/07/28","第一金-高雄",16,0,16
"18","1471首利","110/07/28","華南永昌-苑裡",0,15,-15
"19","1471首利","110/07/28","統一-桃園",13,0,13
"20","1471首利","110/07/28","日盛-中壢",0,13,-13
"21","1471首利","110/07/28","新光-台中",19,6,13
"22","1471首利","110/07/28","玉山-台南",0,13,-13
"23","1471首利","110/07/28","彰銀-七賢",11,0,11
"24","1471首利","110/07/28","凱基-桃園",0,12,-12
"25","1471首利","110/07/28","第一金-台南",11,0,11
"26","1471首利","110/07/28","聯邦-雙和",0,11,-11
"27","1471首利","110/07/28","台新證券",11,0,11
"28","1471首利","110/07/28","統一-新營",0,10,-10
"29","1471首利","110/07/28","凱基-東勢",11,0,11
"30","1471首利","110/07/28","凱基-城中",0,10,-10
"31","2883開發金","110/07/28","摩根大通",5171,647,4524
"32","2883開發金","110/07/28","台灣摩根士丹利",921,11451,-10530
"33","2883開發金","110/07/28","瑞士信貸",4234,62,4172
"34","2883開發金","110/07/28","美商高盛",522,3615,-3093
"35","2883開發金","110/07/28","國泰證券",2247,28,2219
"36","2883開發金","110/07/28","(牛牛牛)亞證券",0,3000,-3000
"37","2883開發金","110/07/28","元大證券",2306,91,2215
"38","2883開發金","110/07/28","康和-仁愛",17,3004,-2987
"39","2883開發金","110/07/28","元富-城東",2203,113,2090
"40","2883開發金","110/07/28","第一金",18,2301,-2283
"41","2883開發金","110/07/28","新加坡商瑞銀",1840,81,1759
"42","2883開發金","110/07/28","凱基-台北",3735,5169,-1434
"43","2883開發金","110/07/28","永豐金-彰化",1682,27,1655
"44","2883開發金","110/07/28","宏遠-高雄",4,1420,-1416
"45","2883開發金","110/07/28","日盛證券",1637,9,1628
"46","2883開發金","110/07/28","亞東-板橋",507,1722,-1215
"47","2883開發金","110/07/28","元大-彰化",1183,11,1172
"48","2883開發金","110/07/28","凱基-豐中",32,1127,-1095
"49","2883開發金","110/07/28","美林",2507,1378,1129
"50","2883開發金","110/07/28","群益金鼎-三重",65,993,-928
"51","2883開發金","110/07/28","華南永昌",1204,239,965
"52","2883開發金","110/07/28","元大-羅東",30,872,-842
"53","2883開發金","110/07/28","日盛-台南",816,6,810
"54","2883開發金","110/07/28","花旗環球",188,1004,-816
"55","2883開發金","110/07/28","台新-松江",722,40,682
"56","2883開發金","110/07/28","華南永昌-朴子",33,716,-683
"57","2883開發金","110/07/28","新光-台中",858,231,627
"58","2883開發金","110/07/28","元大-永和",31,700,-669
"59","2883開發金","110/07/28","凱基-員林",634,25,609
"60","2883開發金","110/07/28","玉山-台南",97,738,-641
"61","6205詮欣","110/07/28","臺銀",30,0,30
"62","6205詮欣","110/07/28","台灣摩根士丹利",0,59,-59
"63","6205詮欣","110/07/28","元大-善化",30,0,30
"64","6205詮欣","110/07/28","凱基-大安",0,50,-50
"65","6205詮欣","110/07/28","日盛證券",16,0,16
"66","6205詮欣","110/07/28","元大-板橋",0,20,-20
"67","6205詮欣","110/07/28","元大-土城學府",15,3,12
"68","6205詮欣","110/07/28","摩根大通",17,30,-13
"69","6205詮欣","110/07/28","臺銀-民權",10,0,10
"70","6205詮欣","110/07/28","凱基-台北",0,11,-11
"71","6205詮欣","110/07/28","德信-新營",10,0,10
"72","6205詮欣","110/07/28","新加坡商瑞銀",0,10,-10
"73","6205詮欣","110/07/28","福勝",10,0,10
"74","6205詮欣","110/07/28","第一金-新竹",0,10,-10
"75","6205詮欣","110/07/28","元大-清水",10,0,10
"76","6205詮欣","110/07/28","台新-高雄",0,6,-6
"77","6205詮欣","110/07/28","新光",9,0,9
"78","6205詮欣","110/07/28","凱基-三多",0,6,-6
"79","6205詮欣","110/07/28","群益金鼎-屏東",7,0,7
"80","6205詮欣","110/07/28","美林",2,7,-5
"81","6205詮欣","110/07/28","元大-汐止",6,0,6
"82","6205詮欣","110/07/28","瑞士信貸",0,5,-5
"83","6205詮欣","110/07/28","統一-屏東",5,0,5
"84","6205詮欣","110/07/28","中國信託-三重",0,5,-5
"85","6205詮欣","110/07/28","日盛-三重",4,0,4
"86","6205詮欣","110/07/28","日盛-雙和",0,4,-4
"87","6205詮欣","110/07/28","亞東-板橋",4,0,4
"88","6205詮欣","110/07/28","宏遠-光隆",0,4,-4
"89","6205詮欣","110/07/28","台中銀",4,0,4
"90","6205詮欣","110/07/28","兆豐-新莊",0,4,-4
"91","1540喬福","110/07/28","兆豐-北高雄",48,0,48
"92","1540喬福","110/07/28","合庫-台中",1,60,-59
"93","1540喬福","110/07/28","兆豐-台中港",33,0,33
"94","1540喬福","110/07/28","凱基-台北",0,44,-44
"95","1540喬福","110/07/28","大慶-中壢",19,0,19
"96","1540喬福","110/07/28","元大-學甲",0,35,-35
"97","1540喬福","110/07/28","富邦-員林",18,0,18
"98","1540喬福","110/07/28","統一-新台中",0,26,-26
"99","1540喬福","110/07/28","(牛牛牛)亞-鑫豐",12,0,12
"100","1540喬福","110/07/28","新光-新竹",0,21,-21
"101","1540喬福","110/07/28","元富-文心",10,0,10
"102","1540喬福","110/07/28","富邦-台北",0,20,-20
"103","1540喬福","110/07/28","光和-和美",10,0,10
"104","1540喬福","110/07/28","富邦-南屯",0,20,-20
"105","1540喬福","110/07/28","永豐金-三重",9,0,9
"106","1540喬福","110/07/28","元大-鶯歌",0,10,-10
"107","1540喬福","110/07/28","臺銀-鳳山",8,0,8
"108","1540喬福","110/07/28","元大-豐原",0,7,-7
"109","1540喬福","110/07/28","元大-斗六",7,0,7
"110","1540喬福","110/07/28","大昌-樹林",0,6,-6
"111","1540喬福","110/07/28","台新-台中",6,0,6
"112","1540喬福","110/07/28","新光-桃園",0,5,-5
"113","1540喬福","110/07/28","華南永昌-中正",6,0,6
"114","1540喬福","110/07/28","凱基-站前",0,5,-5
"115","1540喬福","110/07/28","永豐金-台中",6,0,6
"116","1540喬福","110/07/28","臺銀",0,4,-4
"117","1540喬福","110/07/28","臺銀-民權",5,0,5
"118","1540喬福","110/07/28","台新證券",0,3,-3
"119","1540喬福","110/07/28","元富-中原",5,0,5
"120","1540喬福","110/07/28","台新-高雄",0,3,-3
"121","2888新光金","110/07/28","臺銀-高雄",3050,3,3047
"122","2888新光金","110/07/28","摩根大通",2543,11316,-8773
"123","2888新光金","110/07/28","元富-城東",2019,129,1890
"124","2888新光金","110/07/28","香港上海匯豐",120,7576,-7456
"125","2888新光金","110/07/28","元大證券",2106,407,1699
"126","2888新光金","110/07/28","凱基-台北",1641,5238,-3597
"127","2888新光金","110/07/28","凱基-台南",1068,33,1035
