"","stake","date","name","buy","sell","total"
"1","2363矽統","110/07/13","凱基-南崁",2133,63,2070
"2","2363矽統","110/07/13","凱基-幸福",36,4048,-4012
"3","2363矽統","110/07/13","國泰-敦南",2195,1617,578
"4","2363矽統","110/07/13","統一",192,3325,-3133
"5","2363矽統","110/07/13","中農",670,139,531
"6","2363矽統","110/07/13","新加坡商瑞銀",1000,2747,-1747
"7","2363矽統","110/07/13","康和-台中",638,154,484
"8","2363矽統","110/07/13","凱基-台北",5359,6609,-1250
"9","2363矽統","110/07/13","群益金鼎-三民",577,137,440
"10","2363矽統","110/07/13","摩根大通",1930,2858,-928
"11","2363矽統","110/07/13","台新-屏東",510,88,422
"12","2363矽統","110/07/13","港商野村",960,1679,-719
"13","2363矽統","110/07/13","德信-中正",455,67,388
"14","2363矽統","110/07/13","兆豐-復興",25,705,-680
"15","2363矽統","110/07/13","日盛-竹北",365,70,295
"16","2363矽統","110/07/13","統一-仁愛",114,755,-641
"17","2363矽統","110/07/13","元大-佳里",452,189,263
"18","2363矽統","110/07/13","統一-敦南",29,638,-609
"19","2363矽統","110/07/13","國票-博愛",296,38,258
"20","2363矽統","110/07/13","統一-土城",100,704,-604
"21","2363矽統","110/07/13","元大-萬華",340,95,245
"22","2363矽統","110/07/13","統一-城中",116,676,-560
"23","2363矽統","110/07/13","新光",1259,1031,228
"24","2363矽統","110/07/13","永豐金證券",306,859,-553
"25","2363矽統","110/07/13","元富-成功",323,96,227
"26","2363矽統","110/07/13","元富",54,567,-513
"27","2363矽統","110/07/13","豐農",228,23,205
"28","2363矽統","110/07/13","瑞士信貸",202,666,-464
"29","2363矽統","110/07/13","台灣企銀-岡山",186,4,182
"30","2363矽統","110/07/13","永豐金-嘉義",67,468,-401
"31","8112至上","110/07/13","摩根大通",688,296,392
"32","8112至上","110/07/13","國票-中和",0,401,-401
"33","8112至上","110/07/13","港商野村",344,145,199
"34","8112至上","110/07/13","永豐金-板盛",0,205,-205
"35","8112至上","110/07/13","兆豐-公益",195,5,190
"36","8112至上","110/07/13","凱基-五股",43,155,-112
"37","8112至上","110/07/13","台灣摩根士丹利",183,0,183
"38","8112至上","110/07/13","凱基-市政",0,100,-100
"39","8112至上","110/07/13","群益金鼎-敦南",153,2,151
"40","8112至上","110/07/13","元大-大里德芳",1,92,-91
"41","8112至上","110/07/13","臺銀-金山",146,26,120
"42","8112至上","110/07/13","玉山-桃園",26,110,-84
"43","8112至上","110/07/13","臺銀",133,19,114
"44","8112至上","110/07/13","兆豐-天母",0,81,-81
"45","8112至上","110/07/13","合庫-台中",115,6,109
"46","8112至上","110/07/13","凱基-城中",3,84,-81
"47","8112至上","110/07/13","亞東-板橋",134,26,108
"48","8112至上","110/07/13","日盛-新莊",9,85,-76
"49","8112至上","110/07/13","凱基-台北",414,326,88
"50","8112至上","110/07/13","日盛-台中",2,64,-62
"51","8112至上","110/07/13","新加坡商瑞銀",181,100,81
"52","8112至上","110/07/13","日盛-中壢",3,64,-61
"53","8112至上","110/07/13","國泰-敦南",108,31,77
"54","8112至上","110/07/13","元大-台中",2,59,-57
"55","8112至上","110/07/13","第一金-華江",77,4,73
"56","8112至上","110/07/13","元大-雙和",7,64,-57
"57","8112至上","110/07/13","永豐金-內湖",73,1,72
"58","8112至上","110/07/13","元大-高雄",8,62,-54
"59","8112至上","110/07/13","元大-永和",68,1,67
"60","8112至上","110/07/13","元大-館前",2,55,-53
"61","1570力肯","110/07/13","新光",115,11,104
"62","1570力肯","110/07/13","元大-北三重",0,162,-162
"63","1570力肯","110/07/13","群益金鼎-高雄",54,0,54
"64","1570力肯","110/07/13","元大-大灣",0,25,-25
"65","1570力肯","110/07/13","國票-新莊",22,0,22
"66","1570力肯","110/07/13","永豐金-苓雅",0,22,-22
"67","1570力肯","110/07/13","日盛-桃園",12,0,12
"68","1570力肯","110/07/13","永豐金-永康",0,19,-19
"69","1570力肯","110/07/13","元大-高雄",12,0,12
"70","1570力肯","110/07/13","富邦-員林",0,15,-15
"71","1570力肯","110/07/13","合庫-自強",11,0,11
"72","1570力肯","110/07/13","凱基-台南",0,11,-11
"73","1570力肯","110/07/13","摩根大通",26,15,11
"74","1570力肯","110/07/13","日盛-竹北",0,10,-10
"75","1570力肯","110/07/13","永豐金-中盛",11,0,11
"76","1570力肯","110/07/13","國票-九鼎",0,10,-10
"77","1570力肯","110/07/13","兆豐-台中港",10,0,10
"78","1570力肯","110/07/13","凱基-桃園",0,10,-10
"79","1570力肯","110/07/13","國泰-松江",9,0,9
"80","1570力肯","110/07/13","凱基-新豐",0,10,-10
"81","1570力肯","110/07/13","元大-新盛",9,0,9
"82","1570力肯","110/07/13","元大-學甲",0,10,-10
"83","1570力肯","110/07/13","元富-緯城",6,0,6
"84","1570力肯","110/07/13","群益金鼎-東湖",1,10,-9
"85","1570力肯","110/07/13","統一-三重",5,0,5
"86","1570力肯","110/07/13","大昌",0,6,-6
"87","1570力肯","110/07/13","元大-前金",5,0,5
"88","1570力肯","110/07/13","元大-土城學府",0,6,-6
"89","1570力肯","110/07/13","永豐金證券",5,0,5
"90","1570力肯","110/07/13","統一",0,5,-5
"91","2929淘帝","110/07/13","玉山-新竹",130,0,130
"92","2929淘帝","110/07/13","美商高盛",0,177,-177
"93","2929淘帝","110/07/13","臺銀-民權",60,0,60
"94","2929淘帝","110/07/13","凱基-台北",6,80,-74
"95","2929淘帝","110/07/13","新百王",31,0,31
"96","2929淘帝","110/07/13","元富-大裕",0,49,-49
"97","2929淘帝","110/07/13","日盛-園區",30,0,30
"98","2929淘帝","110/07/13","國泰-館前",3,51,-48
"99","2929淘帝","110/07/13","元大-南投",31,1,30
"100","2929淘帝","110/07/13","凱基-中壢",0,41,-41
"101","2929淘帝","110/07/13","兆豐-忠孝",28,0,28
"102","2929淘帝","110/07/13","港商野村",21,55,-34
"103","2929淘帝","110/07/13","元大-民生",28,0,28
"104","2929淘帝","110/07/13","華南永昌-南京",2,34,-32
"105","2929淘帝","110/07/13","合庫-高雄",27,0,27
"106","2929淘帝","110/07/13","群益金鼎-土城",0,30,-30
"107","2929淘帝","110/07/13","凱基-豐中",27,0,27
"108","2929淘帝","110/07/13","富邦-南屯",0,22,-22
"109","2929淘帝","110/07/13","新光",21,4,17
"110","2929淘帝","110/07/13","第一金-豐原",0,20,-20
"111","2929淘帝","110/07/13","元大-天母",17,0,17
"112","2929淘帝","110/07/13","元大-屏南",6,26,-20
"113","2929淘帝","110/07/13","永興",14,0,14
"114","2929淘帝","110/07/13","永豐金-敦南",1,21,-20
"115","2929淘帝","110/07/13","富邦-台北",12,0,12
"116","2929淘帝","110/07/13","凱基-三重",2,21,-19
"117","2929淘帝","110/07/13","元大-永和",12,0,12
"118","2929淘帝","110/07/13","富邦-仁愛",7,25,-18
"119","2929淘帝","110/07/13","國票-天祥",11,0,11
"120","2929淘帝","110/07/13","元大-北投",0,16,-16
"121","5410國眾","110/07/13","兆豐-城中",274,0,274
"122","5410國眾","110/07/13","元富-嘉義",0,103,-103
"123","5410國眾","110/07/13","新光",50,4,46
"124","5410國眾","110/07/13","凱基-台北",0,50,-50
"125","5410國眾","110/07/13","國泰-台中",26,0,26
"126","5410國眾","110/07/13","瑞士信貸",0,31,-31
"127","5410國眾","110/07/13","新加坡商瑞銀",22,0,22
"128","5410國眾","110/07/13","台新-新莊",0,27,-27
"129","5410國眾","110/07/13","光和-嘉義",20,0,20
"130","5410國眾","110/07/13","元大-汐止",0,20,-20
"131","5410國眾","110/07/13","凱基-竹北",17,0,17
"132","5410國眾","110/07/13","亞東-新竹",0,17,-17
"133","5410國眾","110/07/13","新光-桃園",15,0,15
"134","5410國眾","110/07/13","元大-南勢角",0,13,-13
"135","5410國眾","110/07/13","凱基-台東",14,0,14
"136","5410國眾","110/07/13","台新-台南",0,12,-12
"137","5410國眾","110/07/13","富邦-竹北",11,0,11
"138","5410國眾","110/07/13","中國信託",0,11,-11
"139","5410國眾","110/07/13","元富-同大",10,0,10
"140","5410國眾","110/07/13","華南永昌",0,11,-11
"141","5410國眾","110/07/13","國泰-敦南",24,15,9
"142","5410國眾","110/07/13","臺銀-臺南",0,10,-10
"143","5410國眾","110/07/13","日盛-內湖",7,0,7
